ISim log file
Running: C:\Users\CS152B\Desktop\Group3\Lab0\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/CS152B/Desktop/Group3/Lab0/first_counter_tb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1	 0 0 0 xxxx
2	 1 0 0 xxxx
3	 0 0 0 xxxx
4	 1 0 0 xxxx
5	 0 1 0 xxxx
6	 1 1 0 xxxx
570	 1 0 1 0010
571	 0 0 1 0010
572	 1 0 1 0010
573	 0 0 1 0010
574	 1 0 1 0010
575	 0 0 1 0010
576	 1 0 1 0010
577	 0 0 1 0010
578	 1 0 1 0010
579	 0 0 1 0010
580	 1 0 1 0010
581	 0 0 1 0010
582	 1 0 1 0010
583	 0 0 1 0010
584	 1 0 1 0010
585	 0 0 1 0010
586	 1 0 1 0010
587	 0 0 1 0010
588	 1 0 1 0010
589	 0 0 1 0010
590	 1 0 1 0010
591	 0 0 1 0010
592	 1 0 1 0010
593	 0 0 1 0011
594	 1 0 1 0011
595	 0 0 1 0011
596	 1 0 1 0011
597	 0 0 1 0011
598	 1 0 1 0011
599	 0 0 1 0011
600	 1 0 1 0011
601	 0 0 1 0011
602	 1 0 1 0011
603	 0 0 1 0011
604	 1 0 1 0011
605	 0 0 1 0011
606	 1 0 1 0011
607	 0 0 1 0011
608	 1 0 1 0011
609	 0 0 1 0011
610	 1 0 1 0011
611	 0 0 1 0011
612	 1 0 1 0011
613	 0 0 1 0011
614	 1 0 1 0011
615	 0 0 1 0011
616	 1 0 1 0011
617	 0 0 1 0011
618	 1 0 1 0011
619	 0 0 1 0011
620	 1 0 1 0011
621	 0 0 1 0011
622	 1 0 1 0011
623	 0 0 1 0011
624	 1 0 1 0011
625	 0 0 1 0100
626	 1 0 1 0100
627	 0 0 1 0100
628	 1 0 1 0100
629	 0 0 1 0100
630	 1 0 1 0100
631	 0 0 1 0100
632	 1 0 1 0100
633	 0 0 1 0100
634	 1 0 1 0100
635	 0 0 1 0100
636	 1 0 1 0100
637	 0 0 1 0100
638	 1 0 1 0100
639	 0 0 1 0100
640	 1 0 1 0100
641	 0 0 1 0100
642	 1 0 1 0100
643	 0 0 1 0100
644	 1 0 1 0100
645	 0 0 1 0100
646	 1 0 1 0100
647	 0 0 1 0100
648	 1 0 1 0100
649	 0 0 1 0100
650	 1 0 1 0100
651	 0 0 1 0100
652	 1 0 1 0100
653	 0 0 1 0100
654	 1 0 1 0100
655	 0 0 1 0100
656	 1 0 1 0100
657	 0 0 1 0101
658	 1 0 1 0101
659	 0 0 1 0101
660	 1 0 1 0101
661	 0 0 1 0101
662	 1 0 1 0101
663	 0 0 1 0101
664	 1 0 1 0101
665	 0 0 1 0101
666	 1 0 1 0101
667	 0 0 1 0101
668	 1 0 1 0101
669	 0 0 1 0101
670	 1 0 1 0101
671	 0 0 1 0101
